西武新宿,190,3,175357,287
下落合,294,3,11985,140
中井,277,4,27885,140
新井薬師前,282,6,22185,140
沼袋,280,8,20352,140
野方,281,10,23629,140
都立家政,281,12,18110,140
鷺ノ宮,280,8,30915,287
下井草,279,18,23998,141
井荻,279,20,19918,141
上井草,278,22,20500,141
上石神井,278,12,43369,287
武蔵関,278,18,29559,161
東伏見,277,20,24597,161
西武柳沢,276,22,16383,161
田無,275,17,74808,267
花小金井,278,20,55538,207
小平,281,23,38405,207
久米川,284,27,32195,139
東村山,291,31,47569,139
萩山,279,25,10119,110
小川,277,29,28676,107
東大和市,275,32,25882,107
玉川上水,274,35,41861,107
武蔵砂川,273,38,11331,86
西武立川,272,40,10369,86
拝島,272,44,35286,86
