南新宿,187,2,3788,116
参宮橋,203,3,15347,116
代々木八幡,203,5,19810,116
代々木上原,217,4,243222,303
東北沢,221,9,6422,136
下北沢,222,7,114669,350
世田谷代田,224,12,7934,136
梅ヶ丘,228,14,31444,136
豪徳寺,229,15,25796,136
経堂,233,13,72769,167
千歳船橋,235,19,54885,135
祖師ヶ谷大蔵,237,21,46510,135
成城学園前,239,17,86518,292
喜多見,240,21,31963,135
狛江,240,23,44947,135
和泉多摩川,239,25,15398,135
登戸,237,21,159445,291
向ヶ丘遊園,237,24,64411,280
生田,240,32,44606,135
読売ランド前,242,34,34110,135
百合ヶ丘,241,36,21125,135
新百合ヶ丘,241,22,123894,291
柿生,239,27,35809,130
鶴川,239,29,68358,130
玉川学園前,237,32,47847,130
町田,235,30,289013,286
相模大野,234,33,126479,286
小田急相模原,232,44,55612,124
相武台前,231,47,38430,124
座間,229,50,21483,124
海老名,227,44,135861,224
厚木,227,51,20745,120
本厚木,227,47,147887,220
愛甲石田,227,51,49578,122
伊勢原,227,57,51041,122
鶴巻温泉,228,61,15104,122
東海大学前,228,63,39922,122
秦野,230,69,42754,122
渋沢,233,72,27741,122
新松田,233,79,24124,122
開成,232,83,10308,1
栢山,230,85,9310,1
富水,229,87,6816,1
螢田,228,89,6207,1
足柄,227,91,3447,1
小田原,226,94,66498,1
五月台,242,27,9978,111
栗平,245,29,22051,162
黒川,248,31,8247,111
はるひ野,250,33,9031,111
小田急永山,254,35,29983,162
小田急多摩センター,254,37,48554,162
唐木田,252,40,21004,162
東林間,232,43,21266,126
中央林間,229,38,95598,171
南林間,227,47,33581,149
鶴間,226,48,28876,126
大和,222,43,114295,171
桜ヶ丘,219,47,20491,126
高座渋谷,217,50,24032,126
長後,215,52,34674,149
湘南台,213,49,88380,171
六会日大前,212,57,29703,126
善行,210,59,26722,126
藤沢本町,208,62,21317,126
藤沢,206,56,159074,171
本鵠沼,207,61,12218,1
鵠沼海岸,207,63,19303,1
片瀬江ノ島,205,66,19979,1
新宿三丁目,86,1,64277,184
曙橋,84,3,35845,184
市ヶ谷,87,4,89429,204
九段下,83,9,97908,184
神保町,83,7,124286,204
小川町,85,13,66850,184
岩本町,85,14,46296,184
馬喰横山,88,11,108190,204
浜町,91,15,21381,183
森下,91,13,69892,203
菊川,91,18,23357,183
住吉,91,20,40063,183
西大島,90,21,26632,183
大島,90,17,30032,203
東大島,90,25,31259,178
船堀,93,21,58715,198
一之江,92,30,40085,178
瑞江,69,33,52173,178
篠崎,85,35,36238,178
本八幡,80,29,69927,198
代々木,165,2,140400,228
千駄ヶ谷,134,4,37576,228
信濃町,122,5,51356,228
四ツ谷,101,4,188158,506
市ヶ谷,87,9,118160,228
飯田橋,72.5,11,182650,228
水道橋,75,13,166526,228
御茶ノ水,80,9,209780,506
神田,89,11,197834,506
東京,99,13,836368,506
秋葉原,82,15,487842,228
浅草橋,84,17,106864,228
両国,85,19,75626,228
錦糸町,86,22,207096,369
亀戸,86,24,113330,228
平井,82,26,62888,228
新小岩,78,29,148270,369
小岩,73.5,32,126478,228
市川,77,35,117154,369
本八幡,80,37,115976,228
初台,232,2,57610,186
幡ヶ谷,236,4,30985,186
笹塚,239,5,74580,407
代田橋,240,7,20773,140
明大前,242,8,91026,402
下高井戸,243,10,44270,178
桜上水,248,12,37003,263
上北沢,251,13,14175,143
八幡山,253,14,40664,171
芦花公園,255,18,14057,128
千歳烏山,255,12,76419,328
仙川,253,21,75005,221
つつじヶ丘,252,22,45125,256
柴崎,252,27,17340,163
国領,251,28,39046,163
布田,252,30,15719,163
調布,253,14,115238,411
西調布,257,19,16216,114
飛田給,258,20,23476,114
武蔵野台,260,22,24986,114
多磨霊園,262,23,11798,114
東府中,263,25,20169,128
府中,264,20,85829,227
分倍河原,263,23,89249,227
中川原,261,28,25183,118
聖蹟桜ヶ丘,259,26,65739,227
百草園,262,33,7541,118
高幡不動,263,29,59536,227
南平,262,38,10934,118
平山城址公園,261,40,8990,118
長沼,260,42,4027,118
北野,261,36,22081,227
京王八王子,264,39,57675,120
京王片倉,261,38,4652,88
山田,262,40,4995,88
めじろ台,262,41,17698,114
狭間,262,44,7226,88
高尾,262,44,27209,114
高尾山口,261,47,10089,112
京王多摩川,251,17,16937,118
京王稲田堤,248,19,51536,190
京王よみうりランド,249,21,12195,118
稲城,252,23,20071,118
若葉台,249,26,24758,118
京王永山,254,29,44140,190
京王多摩センター,254,31,84345,190
京王堀之内,255,36,31015,120
南大沢,254,34,61708,184
多摩境,252,41,18945,120
橋本,252,38,91265,184
大久保,344,2,49478,244
東中野,319,4,78204,244
中野,299,4,281194,522
高円寺,290,6,97998,469
阿佐ヶ谷,285,8,88202,469
荻窪,282,10,171876,469
西荻窪,279,12,85414,469
吉祥寺,278,14,279160,469
三鷹,276,14,185672,518
武蔵境,275,18,130768,242
東小金井,275,20,58176,242
武蔵小金井,274,22,118772,242
国分寺,273,19,216044,293
西国分寺,273,23,56792,236
国立,273,25,105162,239
立川,272,24,320694,296
日野,268,27,53854,209
豊田,263,30,63542,209
八王子,263,34,169478,175
西八王子,264,37,62794,143
高尾,262,41,60568,146
相模湖,260,50,5032,50
藤野,261,56,5146,50
上野原,262,60,10534,50
四方津,262,64,3740,50
梁川,262,69,454,50
鳥沢,263,73,1742,50
猿橋,263,76,2938,50
大月,263,80,10818,50
西立川,273,29,13280,143
東中神,273,30,13932,143
中神,274,32,21142,143
昭島,275,34,51940,143
拝島,276,36,58672,143
牛浜,278,38,8686,111
福生,280,40,33178,111
羽村,282,42,27490,111
小作,285,45,34130,111
河辺,286,48,26904,111
東青梅,286,50,13326,105
青梅,286,53,13738,105
宮ノ平,285,61,1008,33
日向和田,284,63,1786,33
石神前,285,65,602,33
二俣尾,286,67,950,33
軍畑,286,69,476,33
沢井,285,71,548,33
御嶽,285,77,1366,33
川井,286,81,466,30
古里,286,84,510,30
鳩ノ巣,285,88,362,30
白丸,284,90,148,30
奥多摩,284,93,1784,30
熊川,277,42,2816,52
東秋留,277,45,9814,52
秋川,277,49,14960,52
武蔵引田,277,51,8290,52
武蔵増戸,277,54,5236,52
武蔵五日市,276,58,9248,52
